AAV50354.1	1501	3063	+
AAV51030.1	1501	3063	+
AAV51112.1	1501	3084	+
ADO18393.1	1501	3063	+
ADO18413.1	1501	3063	+
ADO18899.1	1501	3084	+
AEJ35019.1	1501	3063	+
AEQ60341.1	1501	3066	+
AEQ61069.1	1501	3084	+
AHA45059.1	1501	3063	+
AKI78974.1	1501	3090	+
AKI79557.1	1501	3063	+
AKI79638.1	1501	3084	+
AKI80505.1	1501	3066	+
ALR84391.1	1501	3063	+
AMK61750.1	1501	3063	+
AMK62044.1	1501	3063	+
AMK62071.1	1501	3084	+
BAV61164.1	1501	3063	+
BAV62152.1	1501	3063	+
EJN40622.1	376	1938	+
QTF48982.1	1501	3063	+
QTF49710.1	1501	3063	+
QTF49793.1	1501	3084	+
UMZ07678.1	1501	3063	+
UTE96673.1	1501	3063	+
YP_003986571.1	1501	3063	+
YP_003987301.1	1501	3063	+
YP_003987385.1	1501	3084	+
